"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"ABW","Calcium",886588.249977786,817341.405556928,1.08472205610784,69246.8444208585
"ABW","DHA+EPA",2306.48684495574,2126.33903032431,1.08472205610784,180.147814631436
"ABW","Iron",5901.21243970162,5440.29911300606,1.08472205610784,460.913326695558
"ABW","Vitamin A",166849.346647192,153817.603051121,1.08472205610784,13031.7435960712
"ABW","Vitamin B12",3698.54015872968,3409.66622546666,1.08472205610784,288.87393326301
"ABW","Zinc",1123.48631606927,1035.73658315801,1.08472205610784,87.7497329112607
"AGO","Calcium",NA,NA,NA,NA
"AGO","DHA+EPA",NA,NA,NA,NA
"AGO","Iron",NA,NA,NA,NA
"AGO","Vitamin A",NA,NA,NA,NA
"AGO","Vitamin B12",NA,NA,NA,NA
"AGO","Zinc",NA,NA,NA,NA
"AIA","Calcium",273979.966363276,252893.714183729,1.08337989834033,21086.2521795469
"AIA","DHA+EPA",273.024510346574,252.011792691402,1.08337989834033,21.0127176551726
"AIA","Iron",2023.742146034,1867.98938131883,1.08337989834033,155.752764715173
"AIA","Vitamin A",51415.4087273264,47458.3373810901,1.08337989834033,3957.07134623623
"AIA","Vitamin B12",1273.79942612517,1175.7643169091,1.08337989834033,98.0351092160647
"AIA","Zinc",212.116800092605,195.791707431119,1.08337989834033,16.3250926614857
"ALB","Calcium",NA,NA,NA,NA
"ALB","DHA+EPA",NA,NA,NA,NA
"ALB","Iron",NA,NA,NA,NA
"ALB","Vitamin A",NA,NA,NA,NA
"ALB","Vitamin B12",NA,NA,NA,NA
"ALB","Zinc",NA,NA,NA,NA
"ARE","Calcium",553625.649773434,499901.775627502,1.10746886041462,53723.8741459322
"ARE","DHA+EPA",418.554240442796,377.937705883754,1.10746886041462,40.6165345590425
"ARE","Iron",6246.34424636729,5640.19853707558,1.10746886041462,606.145709291714
"ARE","Vitamin A",54193.2704760881,48934.3514866856,1.10746886041462,5258.91898940252
"ARE","Vitamin B12",5036.99160204251,4548.20156311821,1.10746886041462,488.790038924303
