iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
BES,8285.081312,13377.08245,19499.64626,26880.3789,28771.98177,29496.20362,29821.62731,30092.31874,30183.38445,30233.2494,30261.79931,30279.74137,30801.36345,32458.01272,33786.53011,35701.76595,36938.19758,38487.53505,39466.32233,40608.68594,41851.95862,43467.8018,44945.22961,46093.30944,47553.56979,48799.10753,50551.36204,52484.19071,55728.77906,59414.61097
IND,425.8198231,520.2972782,2378.433777,23387.8398,73243.85476,149745.3598,269280.9256,380378.1428,467819.2813,536766.3235,623056.0086,697814.9775,767172.7724,823285.8176,876068.6507,930215.0784,993706.8927,1074903.684,1159115.929,1225948.392,1278991.019,1328211.589,1374459.078,1422462.196,1467805.127,1513445.266,1562410.829,1613894.548,1668987.208,1735545.087
AUS,1303539.613,1986858.975,2496042.575,2926904.014,3243398.686,3476440.827,3690656.191,3877033.158,4084471.715,4241805.615,4386493.536,4513618.953,4619080.819,4726739.993,4819185.979,4909293.404,5004368.188,5099669.265,5186604.615,5267316.373,5341211.8,5402951.196,5462826.376,5529085.773,5603409.374,5684958.566,5758411.091,5819164.847,5885808.194,5956085.671
LCA,59508.02607,93386.62301,130756.0472,154539.6771,170075.779,174725.5085,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662,175107.3662
SYC,8910.024219,16505.48989,23464.10029,29459.81937,34429.86682,40286.96003,52028.66477,68501.67975,79194.47461,88437.22754,94152.63237,97285.03193,99877.70132,101385.6603,102329.5949,102744.4011,102990.1274,103055.7988,103070.2685,103070.2685,103070.2685,103070.2685,103071.683,103072.7325,103072.7325,103072.7325,103074.4567,103079.6143,103086.3412,103091.6899
TUV,1829.851164,1829.851164,1829.851164,1829.851164,1932.522238,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856,2333.411856
PLW,24456.8407,26117.36632,27008.7245,27361.62137,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871,27370.93871
TON,9054.903337,23792.63731,34732.16022,44726.85858,55582.00824,65098.05977,72462.27656,80944.01101,85734.27334,91829.28638,96532.71502,100615.8939,102204.3027,102388.9876,102551.2896,102871.6776,102995.2492,103011.9763,103057.676,103338.488,103588.2417,103811.2178,103870.1989,103919.9678,103932.6229,103940.2207,103940.2207,103957.8918,104054.655,104148.1913
TLS,154636.2113,301716.3356,388119.7469,416941.3498,431522.9064,444317.7543,456903.8054,468806.7001,481613.683,494351.0854,505896.1745,518631.8757,534506.9035,552199.7202,574569.6037,598314.6814,627902.7694,669200.9989,711631.6349,747751.7303,779207.2283,809639.3305,841275.6308,876780.3003,907897.566,939892.0047,969123.7217,998013.3352,1026053.207,1058085.349
HTI,1130669.686,1461218.122,1810041.493,2171916.483,2596009.83,2857224.519,3106273.139,3375217.04,3637738.626,3870101.611,4112680.71,4333339.612,4547068.882,4729863.184,4893688.388,5050890.957,5210798.592,5386440.667,5584909.098,5813334.279,6035356.348,6227894.798,6410698.788,6615062.986,6941717.416,7300828.71,7720413.18,8125148.096,8643699.428,9237390.529
