"MPA_reef_countries.p.","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop"
"NCL",15.8700390309095,15.8700390309095,15.8700390309095,58.0334263294935,120.195744559169,324.109715506434,4198.29041390121,12143.330197379,24119.2730989903,35008.9749727696,52636.6652899235,71705.7724057883,93412.0729271621,102098.034553215,110492.127468273,122550.061182663,132745.208115831,140939.370178595,145310.836645454,150809.269964546,157721.456454307,164920.20556739,171314.390001684,174792.328929335,177535.570485979,179572.407880217,181525.887404591,183431.740928799,185078.926505327,186899.620702505
"PLW",2060.53260638937,4638.55823276564,9420.63616326079,13869.4248471558,18880.5681060255,21022.8215092495,22553.0721128806,24166.0887987688,25305.349256359,26106.5828297064,26744.4276964143,26959.0592829511,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761,26986.8647679761
"SYC",4715.29498498328,11706.4873248581,26274.3549998645,45858.4832546059,62543.2222345714,75406.03766031,84128.55862833,88398.7613930088,90173.4743849467,91834.0208603572,94237.6865536403,97007.7169872951,98997.2197146695,100361.680726385,101064.809308385,102023.486010885,102830.842156744,103227.107587194,103297.162038183,103297.162038183,103298.084479665,103308.123602929,103333.988271276,103358.409299023,103372.810591869,103373.946025833,103374.208405957,103374.947400004,103375.4572284,103375.497261684
"TUV",1277.63489675522,1277.63489675522,1322.8475933075,1817.28679919243,1837.9064450264,1837.9064450264,1837.9064450264,1837.9064450264,1837.9064450264,1997.42585420609,2094.14514017105,3408.29990816116,8242.33605623245,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589,9482.37646150589
"MYS",2618.4988929769,3652.5592810763,4000.91573394369,4184.5492163999,4234.38316644263,4276.34905224573,4483.65988295805,5009.30163442623,6149.15491415095,9039.18079064321,18315.1596114887,30247.1055814987,36713.5362270838,39751.86282505,43008.6887760302,46121.1210933616,50008.9342395505,53325.8664571187,57583.1093108794,66511.6476082643,77539.4167692242,95349.0706915883,111750.78679398,131265.800232503,151905.351611826,176575.350439372,222973.716108057,267298.74310008,309983.663931402,344380.32352871
"ARE",29109.6355489865,34898.7076894715,40834.8943578675,48198.8131348565,55879.5674430802,66244.2935468331,76186.3856696263,85060.2291878834,93824.1146852151,102276.384962834,111236.610819139,121127.912519492,132520.5858799,149807.045244195,168138.730801441,187247.209062912,205259.981736042,223197.259177782,243760.418923236,264534.488411285,284351.870068528,303265.082022645,322549.429588169,343584.44363448,364418.383627087,387479.785837524,408893.519136123,429516.794728264,451424.837166414,475485.118378922
"MDV",17268.3254497051,51095.081745863,59998.6303830147,126680.537486792,229053.40442884,257340.910594344,260692.966315866,265442.927014709,273107.277494788,278229.154830337,282488.99806726,289725.531800628,303161.057092071,315453.91755116,319536.925454259,323319.479785085,324487.096534848,327098.143164754,328125.251809239,329541.183713078,330582.135082364,331555.365950704,335569.409807801,338357.599889398,340848.644773126,341242.42356813,341384.567135692,342056.172798991,342317.888986945,343029.169167876
"VGB",2266.91329358146,6005.50847898889,8696.28046717215,11199.4302655859,14439.1784159662,20725.9476629915,26334.5269128205,32566.9242572682,35174.8723024921,35593.7951566326,36601.9963209676,37468.5735353278,38179.6996330516,38181.5772780562,38182.6919452781,38221.4085668856,38736.9417456919,40190.8649954135,42947.0424627597,46465.3843321139,51199.5309186513,56619.630988949,59364.582283848,64207.6859716112,68334.8031164939,72283.1116911704,76097.8998587066,79739.6184256012,84786.593970173,88185.8598130876
"AUS",37665.5892111751,75284.6296297611,112051.523259666,141659.587758927,161424.486871178,173357.248550334,189448.307084307,201272.207474452,210006.426939538,215946.521600867,225246.920296831,245449.540490142,259880.556733034,280825.876180661,301987.670242345,328282.133965865,354061.635498642,385990.780116618,422953.722639112,457401.454542512,485740.442332744,513708.622145098,530373.875992524,540398.448341412,551939.530377503,562175.915877175,568420.377510061,577832.906435596,587541.606804724,594862.952304721
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99117088317871,32.2016582489014,351.44581413269
"BLZ",210.291273871437,555.020162874833,724.890587927774,804.056452328339,868.650008769706,940.026013998315,1006.10680560581,1076.48851876892,1188.22161779739,1326.43270532601,1492.19402148388,1796.10130264983,2114.11613929644,2500.12255807593,2837.54049809463,3026.75699442811,3320.94840178825,3915.89641110785,4193.46213240735,4750.87449203245,5462.91929735057,6403.38647860847,7539.24952691235,8899.07864441164,10255.9321398754,11833.2273025755,13400.0255658273,15080.0287506524,19631.2625509668,25306.277189998
"UMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIR",1799.33713358641,4420.32441316545,7653.15639043599,10721.1120276544,14676.1067573223,17698.177304266,23131.8952093814,29060.8641411383,36404.2828887478,42832.1783894729,51012.5738468897,56805.554846419,63622.8936852049,69787.1112230849,75527.2217013296,82254.3086327221,86754.0922839548,92418.7633449938,97621.6662025955,102093.475981775,106545.840791362,111597.007057427,117744.903953067,126425.168762854,130435.280046216,132112.570387191,133334.094816192,134940.561680413,136458.003444512,136839.42400605
"PRI",1806.78517677332,5670.1803759567,8244.85059639649,11520.766529076,13827.359759249,18805.444375776,21323.5871481525,25735.7215877718,34611.1202388948,41354.3671413606,50183.6356369203,57627.5832554048,63448.6946985072,71420.6700518376,81398.2345670185,94336.9595940823,109244.815444443,126596.992700739,144431.068470891,161749.88104264,186248.678793113,207125.792176407,231439.59236161,250378.162276786,267596.111962285,280726.399069275,292931.9402146,307084.429490089,325150.624461993,346311.599918508
"USA",57.7538928012364,887.566095374059,3889.08764779055,8012.65722834924,13302.8390927636,21282.609666199,28664.7212699708,35644.6589701353,44759.0093799308,51116.714027585,58585.3997753921,64575.9969820853,65989.1301703786,66231.8974732944,66413.3963947264,67195.2163679749,67636.9457843705,67639.9778080471,67648.5727303736,67677.616565571,67677.666609682,67678.0891661445,67679.0514700485,67679.688190649,67681.6414129,67682.0228066365,67682.4620984751,67683.036587857,67688.3800504436,67690.7146123308
